Firma;Stitz Registergericht;Bundesland;Branchencode (1);Bilanzsumme;Anzahl MA;fixe Quote;Mitgliederzahl Aufsichtsrat;Davon Frauen;Boersennotiert
Ed. Züblin Aktiengesellschaft;Stuttgart;BW;41;1907528;13983;nein;12;2;0
edding Aktiengesellschaft;Ahrensburg;SH;32.99;112002000;638;nein;3;1;1
EDEKA Handelsgesellschaft Südwest mit beschränkter Haftung;Offenburg;BW;46;1398653287;22418;nein;15;2;0
EDEKA Nordbayern-Sachsen-Thüringen eG;Rottendorf;BY;70.1;1171945000;7731;nein;8;1;0
EDEKA Nordbayern-Sachsen-Thüringen GmbH;Rottendorf;BY;46;611234000;7635;nein;9;1;0
EDEKA Südbayern Beteiligungsgesellschaft mbH;Gaimersheim;BY;46;1199270700;15475;nein;12;3;0
EDG Holding GmbH;Dortmund;NW;38.1;233453292;1194;nein;12;1;0
EGN Entsorgungsgesellschaft Niederrhein mbH;Viersen;NW;38;0;0;nein;3;1;0
EHG Service GmbH;Coesfeld;NW;70.10.1;525022423;10915;nein;0;0;0
EHL AG;Kruft;RP;23. Jun;0;0;nein;3;0;0
Elmos Semiconductor Aktiengesellschaft;Dortmund;NW;27.90.0;369097000;1250;nein;6;0;1
ElringKlinger AG;Stuttgart;BW;29.32;1878169000;7931;ja;12;3;
ElringKlinger Kunststofftechnik GmbH;Bietigheim-Bissingen;BW;22.29;0;0;nein;0;0;0
Elster GmbH;Wiesbaden;HE;82.99.9;0;0;nein;6;1;0
EnBW Energie Baden-Württemberg AG;Mannheim;BW;35;38535300000;20305;ja;20;4;
EnBW Kernkraft GmbH;Obrigheim;BW;35.11.2;0;0;nein;18;2;0
enercity Aktiengesellschaft;Hannover;NI;35.1;0;0;nein;20;3;0
Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (EnW Bonn/Rhein-Sieg);Bonn;NW;35.12;0;0;nein;15;2;0
EnergieNetz Mitte GmbH;Kassel;HE;35;0;0;nein;21;1;0
Energieversorgung Offenbach Aktiengesellschaft;Offenbach am Main;HE;35;0;0;nein;14;2;0
Energieversorgungs- und Verkehrsgesellschaft mit beschränkter Haftung Aachen;Aachen;NW;82.99.9;667639350;1712;nein;15;2;0
ENGIE Deutschland AG;Berlin;BE;49.41;1,58E+11;0;nein;6;1;0
ENGIE Deutschland GmbH;Köln;NW;43.22;934011289;2642;nein;3;1;0
ENSO Energie Sachsen Ost AG;Dresden;SN;35;0;0;nein;18;2;0
ENSO NETZ GmbH;Dresden;SN;35;0;0;nein;3;1;0
ENTEGA AG;Darmstadt;HE;35;1562941000;1790;nein;20;2;0
envia Mitteldeutsche Energie AG;Chemnitz;SN;35;0;0;nein;20;4;0
Epigenomics AG;Berlin;BE;72.11.0;21827000;43;nein;4;1;1
Eppendorf AG;Hamburg;HH;46.46.2;869981000;3134;nein;6;1;0
equensWorldline GmbH;Frankfurt am Main;HE;62.01.9;0;0;nein;3;0;0
Erbslöh Aktiengesellschaft;Velbert;NW;46.72.2;496070197;2801;nein;6;0;0
ERGO Beratung und Vertrieb AG;Düsseldorf;NW;66.22.0;0;0;nein;12;2;0
ERGO Direkt Lebensversicherung Aktiengesellschaft;Fürth;BY;65.11;0;0;nein;3;0;0
ERGO Direkt Versicherung Aktiengesellschaft;Fürth;BY;65.1;0;0;nein;3;0;0
ERGO Group AG;Düsseldorf;NW;70.10.1;0;0;nein;16;6;0
ERGO Krankenversicherung AG;Fürth;BY;65.12.1;0;0;nein;3;0;0
Erlanger Stadtwerke Aktiengesellschaft;Erlangen;BY;35;267267306;616;nein;12;4;0
Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Stuttgart;BW;69.20.1;1666143000;9668;nein;12;3;0
ESG Elektroniksystem- und Logistik-Gesellschaft mit beschränkter Haftung;München;BY;71.12.2;0;0;nein;3;0;0
ESWE Verkehrsgesellschaft mbH;Wiesbaden;HE;52.29.1;0;0;nein;12;2;0
ESWE Versorgungs AG;Wiesbaden;HE;36.00.2;0;0;nein;18;3;0
ETO MAGNETIC GmbH;Stockach;BW;71.12.2;0;0;nein;3;0;0
euro engineering Aktiengesellschaft;Düsseldorf;NW;71.12.9;0;0;nein;0;0;0
EUROGATE Technical Services GmbH;Bremerhaven;HB;52.29.9;0;0;nein;3;0;0
EUROPIPE GmbH;Mülheim an der Ruhr;NW;24.20.1;436592000;1087;nein;12;2;0
EUROVIA GmbH;Berlin;BE;46.73.4;0;0;nein;20;3;0
Evonik Industries AG;Essen;NW;20.59;19939000000;35803;ja;20;3;
Evonik Logistics Services GmbH;Marl;NW;52.29.9;0;0;nein;6;1;0
Evonik Nutrition & Care GmbH;Essen;NW;20.59.0;0;0;nein;4;0;0
Evonik Performance Materials GmbH;Essen;NW;20.59.0;0;0;nein;4;0;0
Evonik Resource Efficiency GmbH;Essen;NW;72.19;0;0;nein;12;0;0
Evonik Technology & Infrastructure GmbH;Essen;NW;20.59.0;0;0;nein;12;0;0
Evotec AG;Hamburg;HH;72.11.0;667268000;1652;nein;6;2;1
EWE Aktiengesellschaft;Oldenburg;NI;70.10;9097100000;8964;nein;20;3;0
EWE NETZ GmbH;Oldenburg;NI;96.09;0;0;nein;20;1;0
EWN Entsorgungswerk für Nuklearanlagen GmbH;Rubenow;MV;43.11;474666580;1867;nein;8;3;0
EWR Aktiengesellschaft;Worms;RP;35.1;342489000;463;nein;12;2;0
EYEMAXX Real Estate AG;Aschaffenburg;BY;64.20;226531000;53;nein;3;0;1
Federal-Mogul Bremsbelag GmbH;Glinde;SH;46.69.2;0;0;nein;6;1;0
Federal-Mogul Holding Deutschland GmbH;Wiesbaden;HE;70.10.1;1089884286;9836;nein;12;3;0
Fels-Werke GmbH;Goslar;NI;08. Nov;0;0;nein;6;1;0
Fendt-Caravan GmbH;Mertingen;BY;29. Jan;0;0;nein;0;0;0
Fernheizwerk Neukölln Aktiengesellschaft;Berlin;BE;35;0;0;nein;6;0;1
FES Frankfurter Entsorgungs- und Service GmbH;Frankfurt am Main;HE;38;121263771;1710;nein;16;4;0
Fiducia & GAD IT AG;Frankfurt am Main;HE;46.14.5;1041138027;6274;nein;20;3;0
Fiege Mega Center Logistik GmbH;Ibbenbüren;NW;49.41.0;0;0;nein;0;0;0
Fielmann Aktiengesellschaft;Hamburg;HH;32.50.1;913534000;11916;ja;16;4;
First Sensor AG;Berlin;BE;26.11.2009;168383000;835;nein;4;0;1
FLACHGLAS Wernberg GmbH;Wernberg-Köblitz;BY;23;75909281;883;nein;6;1;0
Fleggaard GmbH;Harrislee;SH;46.90;0;0;nein;0;0;0
Flender Industriegetriebe GmbH;Penig;SN;28.15;0;0;nein;3;1;0
Flughafen Düsseldorf GmbH;Düsseldorf;NW;52.23.1;993393909;2139;nein;20;3;0
Flughafen Hamburg Gesellschaft mit beschränkter Haftung;Hamburg;HH;52.23.1;622783265;2013;nein;15;3;0
Flughafen Hannover-Langenhagen Gesellschaft mit beschränkter Haftung;Hannover;NI;52.23.1;350766892;1287;nein;12;3;0
Flughafen Köln/Bonn Gesellschaft mit beschränkter Haftung;Köln;NW;52.23.1;0;0;nein;15;4;0
Flughafen München Gesellschaft mit beschränkter Haftung;München;BY;52.23.1;5306284000;9316;nein;16;5;0
Flughafen Stuttgart Gesellschaft mit beschränkter Haftung;Stuttgart;BW;52.23.1;709064000;1823;nein;12;3;0
Ford Deutschland Holding GmbH;Köln;NW;64.2;10145100000;26682;nein;20;3;0
Ford-Werke GmbH;Köln;NW;29;0;0;nein;20;4;0
Framode GmbH;Willstätt;BW;47.71.0;0;0;nein;0;0;0
FRANKFURTER VOLKSBANK EG;Frankfurt am Main;HE;64.19.3;0;0;nein;24;3;0
Franz Haniel & Cie. GmbH;Duisburg;NW;64.2;7368000000;18481;nein;12;1;0
Fraport AG Frankfurt Airport Services Worldwide;Frankfurt am Main;HE;52.23.1;8872800000;19372;ja;20;4;
freenet AG;Kiel;SH;61.90.1;4284759000;4921;ja;12;4;
Freiburger Verkehrs Aktiengesellschaft;Freiburg im Breisgau;BW;49.31.0;0;0;nein;21;4;0
Fresenius SE & Co. KGaA;Bad Homburg v.d.H.;HE;46.46.2;53133000000;269349;ja;12;0;
FRIATEC Aktiengesellschaft;Mannheim;BW;20.16;0;0;nein;3;0;0
FRIATEC GmbH;Mannheim;BW;71.12.9;0;0;nein;3;0;0
FrieslandCampina Germany GmbH;Heilbronn;BW;46.33;8424000000;22049;nein;9;3;0
FRoSTA Aktiengesellschaft;Bremerhaven;HB;46.3;328627000;1746;nein;3;0;0
FTI Touristik GmbH;München;BY;79.1;849681361;7149;nein;0;0;0
FUCHS PETROLUB SE;Mannheim;BW;19.20.0;1891000000;5216;nein;6;2;1
Fujitsu TDS GmbH;Neckarsulm;BW;62.09;0;0;nein;3;0;0
Fujitsu Technology Solutions GmbH;München;BY;26. Feb;0;0;nein;12;5;0
G. I. S. Gesellschaft für Industrieservice AKTIENGESELLSCHAFT;Karlstein;BY;81.22;0;0;nein;3;0;0
G. Kaiser HOLISTIC CAPITAL GmbH;Berlin;BE;70.10.9;44375720;1477;nein;0;0;0
Gambro Dialysatoren GmbH;Hechingen;BW;32.50.1;0;0;nein;6;1;0
Gardner Denver Deutschland GmbH;Bad Neustadt a.d. Saale;BY;46.69.2;0;0;nein;0;0;0
GASAG AG;Berlin;BE;35;2009737000;1619;nein;21;2;0
GE Power GmbH;Mannheim;BW;64.20;0;295000;nein;13;1;0
GEA Farm Technologies GmbH;Bönen;NW;46.61;0;0;nein;3;1;0
GEA Group Aktiengesellschaft;Düsseldorf;NW;24;6107937000;17065;ja;12;3;
GEA Westfalia Separator Group GmbH;Oelde;NW;28.29;0;0;nein;12;0;0
Geberit Mapress GmbH;Langenfeld;NW;24. Feb;0;0;nein;3;0;0
GEDIA Gebrüder Dingerkus GmbH;Attendorn;NW;22.29;0;0;nein;0;0;0
GEFA BANK GmbH;Wuppertal;NW;64.1;0;0;nein;6;0;0
GEG Gebäudedienste GmbH;Lonsheim;RP;81.21;0;0;nein;0;0;0
GELITA AG;Eberbach;BW;20.59.0;628863000;2495;nein;6;2;0
GELSENWASSER AG;Gelsenkirchen;NW;36.0;1763200000;1460;nein;12;1;1
Generali Deutschland AG;München;BY;65.2;0;0;nein;16;4;0
Generali Deutschland Informatik Services GmbH;Aachen;NW;62.02.0;0;0;nein;6;0;0
Generali Deutschland Schadenmanagement GmbH;Köln;NW;74.90.0;0;0;nein;6;0;0
Generali Deutschland Services GmbH;Aachen;NW;70.22;0;0;nein;5;0;0
Generali Lebensversicherung Aktiengesellschaft;München;BY;65.11;0;0;nein;3;1;0
Generali Versicherung Aktiengesellschaft;München;BY;65.1;0;0;nein;4;1;0
Gerresheimer AG;Düsseldorf;NW;46.76.0;2444097000;9568;ja;12;4;
Gerry Weber International Aktiengesellschaft;Gütersloh;NW;14. Jan;789906800;5259;ja;12;3;
Gess & Partner GmbH;Düsseldorf;NW;78.20;26914559;1798;nein;0;0;0
Gesundheit Nordhessen Holding AG;Kassel;HE;70.10.1;327523080;4804;nein;18;9;0
Gesundheitseinrichtungen Hameln-Pyrmont GmbH;Hameln;NI;86.90.9;0;0;nein;9;2;0
GETRAG FORD Transmissions GmbH;Köln;NW;28.15;1114653000;4484;nein;3;0;0
GEWOBAG Wohnungsbau-Aktiengesellschaft Berlin;Berlin;BE;41.20.1;2694009015;556;nein;9;2;0
GfK SE;Nürnberg;BY;70.2;1293250000;12669;nein;10;3;1
Giesecke+Devrient Gesellschaft mit beschränkter Haftung;München;BY;28.23.0;2142100000;11373;nein;12;5;0
Gigaset AG;München;BY;70.22;213074000;841;nein;6;1;1
Gigaset Communications GmbH;Bocholt;NW;71.12.2;0;0;nein;6;2;0
GISA GmbH;Halle (Saale);ST;70.22.0;0;0;nein;12;1;0
GKN Driveline Deutschland GmbH;Offenbach am Main;HE;28;0;0;nein;12;3;0
GKN Walterscheid GmbH;Lohmar;NW;28.99.0;0;0;nein;6;2;0
Globetrotter Ausrüstung GmbH;Hamburg;HH;46.49.2;0;0;nein;0;0;0
GLS Gemeinschaftsbank e.G.;Bochum;NW;64.1;5225465832;519;nein;9;4;0
GMH Guss GmbH;Schwerte;NW;70.10.1;92346306;1885;nein;13;1;0
GNS Gesellschaft für Nuklear-Service mbH;Essen;NW;21.20.0;471606452;547;nein;6;0;0
Gonder Facility Services GmbH;Frankfurt am Main;HE;96.09;0;0;nein;0;0;0
Gonder Logistics GmbH;Frankfurt am Main;HE;52.29.9;0;0;nein;0;0;0
GoodMills Deutschland GmbH;Hamburg;HH;Okt 61;285386000;621;nein;6;0;0
Goodyear Dunlop Tires Germany GmbH;Hanau;HE;22.19;0;0;nein;16;5;0
Gothaer Finanzholding Aktiengesellschaft;Köln;NW;64.20;0;2802;nein;12;4;0
GRAMMER Aktiengesellschaft;Amberg;BY;29.32.0;1106968000;12483;ja;12;2;
GRENKE AG;Baden-Baden;BW;64.91.0;5876491000;1456;nein;6;2;1
Grohe AG;Hemer;NW;28.12.2000;1216236156;5790;nein;12;4;0
Grosskraftwerk Mannheim Aktiengesellschaft;Mannheim;BW;38.21.0;0;0;nein;18;1;0
Grünbeck Wasseraufbereitung GmbH;Höchstädt a.d.Donau;BY;28.29;0;0;nein;0;0;0
GRUNDFOS PUMPENFABRIK GMBH;Wahlstedt;SH;46.69.2;0;0;nein;0;0;0
Grünenthal GmbH;Aachen;NW;21. Feb;0;0;nein;5;1;0
GSW Immobilien AG;Berlin;BE;68.31;8326307000;241;nein;3;1;1
H.C. Starck GmbH;Goslar;NI;24;0;0;nein;8;0;0
HALLESCHE Krankenversicherung auf Gegenseitigkeit;Stuttgart;BW;65.12.1;0;0;nein;9;4;0
Hallesche Wasser und Stadtwirtschaft GmbH;Halle (Saale);ST;36;0;0;nein;12;4;0
HAMBORNER REIT AG;Duisburg;NW;68.32;0;0;nein;9;3;1
Hamburg Commercial Bank AG;Hamburg und Kiel;HH;66.19;70382000000;2219;nein;16;5;0
Hamburger Hafen und Logistik Aktiengesellschaft;Hamburg;HH;52;1835278000;5474;ja;12;2;
Hamburger Hochbahn Aktiengesellschaft;Hamburg;HH;49.31;0;0;nein;16;5;0
Hamburger Sparkasse AG;Hamburg;HH;64.19.2;0;0;nein;16;2;0
Hannover Rück SE;Hannover;NI;65;64508637000;3272;nein;9;4;1
Hannoversche Volksbank eG;Hannover;NI;66.19;0;0;nein;15;6;0
Hanon Systems Bad Homburg GmbH;Bad Homburg v. d. Höhe;HE;29.32;0;0;nein;0;0;0
HANSA Pflege & Residenzen GmbH;Oldenburg;NI;64.20;11544533;1828;nein;0;0;0
HanseMerkur Krankenversicherung AG;Hamburg;HH;65.12.1;0;0;nein;9;0;0
HanseWerk AG;Quickborn/Krs. Pinneberg;SH;35.1;0;0;nein;20;4;0
HanseYachts AG;Greifswald;MV;30. Dez;91477196;1447;nein;6;0;1
Hansgrohe SE;Schiltach;BW;25.99.3;826647262;4151;nein;6;0;0
Hapag-Lloyd Aktiengesellschaft;Hamburg;HH;52.29.2;11330900000;9176;ja;0;0;
Harro Höfliger Verpackungsmaschinen GmbH;Allmersbach im Tal;BW;28.29;133860204;954;nein;0;0;0
HAWESKO Holding Aktiengesellschaft;Hamburg;HH;70.1;289000000;1027;nein;6;1;1
Hays Professional Solutions GmbH;Düsseldorf;NW;70.22;0;0;nein;3;0;0
HDI Global SE;Hannover;NI;65.1;0;0;nein;6;1;0
HeidelbergCement AG;Mannheim;BW;46.73.1;37153800000;53729;ja;12;2;
HEITEC AG;Erlangen;BY;28.29;46273606;891;nein;3;0;0
HELIOS Albert-Schweitzer-Klinik Northeim GmbH;Northeim;NI;86.90;0;0;nein;6;1;0
HELIOS Dr. Horst Schmidt Kliniken Wiesbaden GmbH;Wiesbaden;HE;86.10;0;0;nein;16;6;0
HELIOS Fachklinik Schleswig GmbH;Schleswig;SH;86.10;0;0;nein;3;0;0
HELIOS Fachkliniken Hildburghausen GmbH;Hildburghausen;TH;86.1;0;0;nein;0;0;0
HELIOS Frankenwaldklinik Kronach GmbH;Kronach;BY;86.10.1;0;0;nein;0;0;0
HELIOS Klinik Schleswig GmbH;Schleswig;SH;86.1;0;0;nein;3;1;0
HELIOS Kliniken Mittelweser GmbH;Nienburg/Weser;NI;86.10.1;0;0;nein;0;0;0
HELIOS Kliniken München GmbH;München;BY;86.10.1;0;0;nein;0;0;0
HELIOS Kliniken Schwerin GmbH;Schwerin;MV;86.10.1;0;0;nein;12;5;0
HELIOS Klinikum Duisburg GmbH;Duisburg;NW;86.10.1;0;0;nein;3;0;0
HELIOS Klinikum Emil von Behring GmbH;Berlin;BE;86.10.1;0;0;nein;3;2;0
HELIOS Klinikum Erfurt GmbH;Erfurt;TH;86.10.1;0;0;nein;0;0;0
HELIOS Klinikum Gifhorn GmbH;Gifhorn;NI;86.10.1;0;0;nein;0;0;0
HELIOS Klinikum Gotha GmbH;Gotha;TH;86.10.1;0;0;nein;9;4;0
HELIOS Klinikum Hildesheim GmbH;Hildesheim;NI;86.10.1;0;0;nein;9;2;0
HELIOS Klinikum Krefeld GmbH;Krefeld;NW;86.10.1;0;0;nein;12;4;0
HELIOS Klinikum Pforzheim GmbH;Pforzheim;BW;86.10.1;0;0;nein;9;3;0
HELIOS Klinikum Salzgitter GmbH;Salzgitter;NI;86.10.1;0;0;nein;9;3;0
HELIOS Klinikum Siegburg GmbH;Siegburg;NW;86.10.1;0;0;nein;0;0;0
HELIOS Klinikum Wuppertal GmbH;Wuppertal;NW;86.10.1;0;0;nein;12;6;0
HELIOS Park-Klinikum Leipzig GmbH;Leipzig;SN;86.10.1;0;0;nein;0;0;0
HELU KABEL GmbH;Hemmingen;BW;27.32.0;338651844;1442;nein;0;0;0
Henkel AG & Co. KGaA;Düsseldorf;NW;20.41;27917000000;49950;ja;16;7;
HERAEUS HOLDING Gesellschaft mit beschränkter Haftung;Hanau;HE;64.20;4829300000;12672;nein;12;3;0
HERRENKNECHT AKTIENGESELLSCHAFT;Schwanau;BW;28;958669000;3914;nein;12;2;0
Hertz Autovermietung GmbH;Eschborn;HE;77.11;0;0;nein;0;0;0
Hewlett-Packard GmbH;Böblingen;BW;26.20.0;0;0;nein;0;0;0
Hirschvogel Holding GmbH;Denklingen;BY;70.10.1;883262000;5481;nein;0;0;0
Hobby-Wohnwagenwerk Ing. Harald Striewski GmbH;Fockbek;SH;29.10.2001;374301319;1490;nein;0;0;0
HOCHLAND SE;Heimenkirch;BY;70.10.1;880212000;4521;nein;6;2;0
HOCHTIEF Aktiengesellschaft;Essen;NW;42;13348758000;3397;ja;16;1;
Holcim (Deutschland) GmbH;Hamburg;HH;23.51;0;0;nein;3;1;0
Homag Group AG;Schopfloch;BW;70.1;610840000;5173;nein;12;3;0
Home Shopping Europe GmbH;Ismaning;BY;46.52;0;0;nein;3;0;0
HOPPE Aktiengesellschaft;Stadtallendorf;HE;25.72.0;0;0;nein;3;0;0
Hörmann Automotive Gustavsburg GmbH;Ginsheim-Gustavsburg;HE;25.50.4;0;0;nein;2;0;0
Hörmann Automotive Penzberg GmbH;Penzberg;BY;25. Dez;0;0;nein;3;0;0
HORNBACH Baumarkt AG;Landau;RP;47.52.1;1959885000;10280;ja;12;2;
HOSOKAWA ALPINE Aktiengesellschaft;Augsburg;BY;28.41.0;202667408;756;nein;3;0;0
HotelInvest Holding GmbH;München;BY;64.20;1210330505;4018;nein;12;2;0
Hottinger Baldwin Messtechnik Gesellschaft mit beschränkter Haftung;Darmstadt;HE;26.51;0;0;nein;3;0;0
HSBC Trinkaus & Burkhardt AG;Düsseldorf;NW;64.19;24278900000;2879;ja;0;0;
HUBER Packaging Group GmbH;Öhringen;BW;46.69;0;0;nein;3;0;0
HUGO BOSS AG;Stuttgart;BW;14. Jan;1720047000;15970;ja;12;1;
HUK-COBURG Haftpflicht-Unterstützungs-Kasse kraftfahrender Beamter Deutschlands a.G. in Coburg;Coburg;BY;22.22.0;33372203673;9804;nein;9;3;0
Hüttenwerke Krupp Mannesmann Gesellschaft mit beschränkter Haftung;Duisburg;NW;24. Jan;0;0;nein;15;1;0
HYPOPORT AG;Berlin;BE;70.22;305618000;1356;nein;3;0;1
IAV GmbH Ingenieurgesellschaft Auto und Verkehr;Berlin;BE;70.22.0;521316000;6563;nein;12;1;0
IBM Deutschland GmbH;Ehningen;BW;26.20.0;0;0;nein;12;4;0
IBM Deutschland Management & Business Support GmbH;Ehningen;BW;70.22;0;0;nein;12;3;0
IBM Deutschland Research & Development GmbH;Böblingen;BW;82.99;0;0;nein;3;2;0
IKB Deutsche Industriebank Aktiengesellschaft;Düsseldorf;NW;64.19;17217800000;1195;nein;9;1;0
IMA Klessmann GmbH Holzbearbeitungssysteme;Lübbecke;NW;25.73.2;128191631;1468;nein;3;0;0
INEOS Köln GmbH;Köln;NW;46.75;0;0;nein;12;1;0
Infineon Technologies AG;München;BY;26.11.2009;9945000000;10124;ja;16;6;
Infineon Technologies Dresden GmbH;Dresden;SN;27.90;0;0;nein;12;4;0
InfraLeuna GmbH;Leuna;ST;35;0;0;nein;3;0;0
ING-DiBa AG;Frankfurt am Main;HE;64.19;1,62E+11;3624;nein;12;3;0
Ingersoll Werkzeuge GmbH;Haiger;HE;25.73;0;0;nein;0;0;0
init innovation in traffic systems SE;Karlsruhe;BW;70.10.1;168461000;796;nein;3;0;1
innogy Netze Deutschland GmbH;Essen;NW;35;0;0;nein;0;0;0
innogy SE;Essen;NW;35;46814000000;42104;ja;0;0;
Intel Deutschland GmbH;München;BY;62.09.0;1,13E+11;0;nein;12;3;0
INTER Krankenversicherung AG;Mannheim;BW;65.12.1;0;0;nein;9;2;0
INTER Versicherungsverein aG;Mannheim;BW;65.12.2;9504587000;1535;nein;6;1;0
INTERHYP AG;München;BY;66.19;0;0;nein;6;1;0
IQVIA IES Germany GmbH;Mannheim;BW;96.09;0;0;nein;0;0;0
itelligence AG;Bielefeld;NW;64.20;577980000;6267;nein;6;0;0
ITERGO Informationstechnologie GmbH;Düsseldorf;NW;62.0;0;0;nein;3;0;0
ITK Engineering GmbH;Rülzheim;RP;62.01;0;0;nein;3;1;0
Iveco Magirus Aktiengesellschaft;UIm;BW;72.19.0;0;0;nein;12;1;0
IVU Traffic Technologies AG;Berlin;BE;62.0;79379000;558;nein;3;2;1
J. Bünting Beteiligungs AG;Leer;NI;66;425696000;13565;nein;16;3;0
JANSSEN-CILAG GmbH;Neuss;NW;21. Feb;0;0;nein;3;1;0
Jeans Fritz Handelsgesellschaft für Mode mbH;Hüllhorst;NW;47.71;0;0;nein;0;0;0
JENOPTIK Aktiengesellschaft;Jena;TH;26. Jul;889126000;3500;ja;12;3;
Joh. Friedrich Behrens Aktiengesellschaft;Ahrensburg;SH;64.20;94919000;419;nein;6;0;1
Johnson & Johnson GmbH;Neuss;NW;20.42;0;0;nein;3;2;0
JOST Werke AG;Neu-Isenburg;HE;64.20;619952000;2844;nein;6;1;1
JT International Germany GmbH;Trier;RP;12;0;0;nein;6;1;0
Jungheinrich Aktiengesellschaft;Hamburg;HH;28.22.0;4129544000;15164;ja;12;2;
K+S Aktiengesellschaft;Kassel;HE;08.91.0;9754400000;14149;ja;16;2;
Kabel Deutschland Holding AG;Unterföhring;BY;60.20;3050004671;3699;nein;12;5;0
Kampmann GmbH;Lingen;NI;25.21;58645717;780;nein;3;0;0
Kao Germany GmbH;Darmstadt;HE;46.75.0;292811000;1191;nein;6;1;0
Karstadt Warenhaus GmbH;Essen;NW;47.78.9;0;0;nein;20;5;0
Kasseler Verkehrs- und Versorgungs-GmbH;Kassel;HE;35.1;889330682;1866;nein;18;3;0
Kasseler Verkehrs-Gesellschaft Aktiengesellschaft;Kassel;HE;49.39.9;0;0;nein;12;4;0
Kernkraftwerk Gundremmingen GmbH;Gundremmingen;BY;70.10;0;0;nein;6;0;0
Kerntechnische Entsorgung Karlsruhe GmbH;Eggenstein-Leopoldshafen;BW;81.29.2;0;0;nein;6;1;0
KfW IPEX-Bank GmbH;Frankfurt am Main;HE;66.19.0;0;0;nein;9;1;0
KHD Humboldt Wedag International AG;Köln;NW;70.10;270393000;687;nein;3;1;1
KHS GmbH;Dortmund;NW;28.29;0;0;nein;12;0;0
Kiekert Aktiengesellschaft;Heiligenhaus;NW;22.29;515821851;4946;nein;6;0;0
KION GROUP AG;Wiesbaden;HE;46.69.1;11228400000;9127;ja;16;3;
KLENK HOLZ Aktiengesellschaft;Oberrot;BW;16. Jan;164152885;957;nein;3;0;0
Klenk Holz GmbH;Oberrot;BW;16. Okt;0;0;nein;3;0;0
Kling Automaten GmbH;Baindt;BW;92.00.1;0;0;nein;0;0;0
Klingelnberg GmbH.;Hückeswagen;NW;28.99.0;0;0;nein;3;0;0
Kliniken Beelitz GmbH;Beelitz-Heilstätten;BR;70.10.1;0;0;nein;3;0;0
Kliniken Miltenberg-Erlenbach GmbH;Erlenbach;BY;70.10.1;0;0;nein;0;0;0
Klinikum Dahme-Spreewald GmbH;Lübben (Spreewald);BR;70.10.1;0;0;nein;12;5;0
Klinikum Kassel GmbH;Kassel;HE;86.10.1;0;0;nein;10;3;0
Klöckner & Co SE;Duisburg;NW;46.15.4;3061355000;8380;nein;6;1;1
KNAUF INTERFER SE;Essen;NW;46.72.1;342552000;1607;nein;3;0;0
Knorr-Bremse Aktiengesellschaft;München;BY;45.31.0;4799731000;23811;nein;11;1;0
Koelnmesse GmbH;Köln;NW;82.30.0;334183814;804;nein;21;6;0
Koenig & Bauer AG;Würzburg;BY;28.99.0;1163900000;5131;ja;12;1;
Kölner Verkehrs-Betriebe Aktiengesellschaft;Köln;NW;52.2;0;0;nein;20;4;0
Kommunale Wasserwerke Leipzig GmbH;Leipzig;SN;36;0;0;nein;21;4;0
Konica Minolta Business Solutions Deutschland GmbH;Langenhagen;NI;46.49.4;0;0;nein;3;0;0
König + Neurath AG;Karben;HE;28.23;0;0;nein;3;0;0
Kontron S&T AG;Augsburg;BY;27.90;291126000;1255;nein;5;1;0
Koyo Bearings Deutschland GmbH;Halle;NW;46.69.2;0;0;nein;3;0;0
KPS AG;Unterföhring;BY;62.01.9;139867000;565;nein;3;0;1
KraussMaffei Berstorff GmbH;Hannover;NI;28.96;1752950000;4779;nein;3;0;0
KraussMaffei Group GmbH;München;BY;70.10.1;1752950000;4779;nein;12;2;0
KraussMaffei Technologies GmbH;München;BY;72.19.0;1752950000;4779;nein;3;1;0
KRONES Aktiengesellschaft;Regensburg;BY;82.92.0;3039818000;14426;ja;12;2;
Kronimus Aktiengesellschaft;Iffezheim;BW;23. Jun;55974492;552;nein;3;0;0
KS HUAYU AluTech GmbH;Neckarsulm;BW;24.42;221136000;1124;nein;9;1;0
KSB SE & Co. KGaA (früher KSB Aktiengesellschaft);Ludwigshafen a.Rhein (Ludwigshafen);RP;28. Jan;2350233000;15436;ja;12;1;
KSG GmbH;Gornsdorf;SN;26. Nov;0;0;nein;0;0;0
KUKA Aktiengesellschaft;Augsburg;BY;28. Jan;2640100000;13418;ja;12;1;
Kulmbacher Brauerei Aktien-Gesellschaft;Kulmbach;BY;70.10.1;169209000;844;nein;6;2;0
Kuraray Europe GmbH;Hattersheim am Main;HE;20.60.0;0;0;nein;3;0;0
Kursana Seniorenvilla GmbH;Berlin;BE;70.10.1;0;0;nein;0;0;0
Kursana Social Care GmbH;Berlin;BE;70.10.1;0;0;nein;0;0;0
Landesbank Berlin AG;Berlin;BE;64.19.2;0;0;nein;19;3;0
LANXESS Aktiengesellschaft;Köln;NW;20. Mai;10396000000;18527;ja;12;2;
Läpple Automotive GmbH;Teublitz;BY;46.72;0;0;nein;3;0;0
Lausitzer und Mitteldeutsche Bergbau-Verwaltungsgesellschaft mbH;Senftenberg;BR;70.10.9;0;0;nein;9;4;0
